DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0108,7,2013,25,3,1,0101,55,35,4,9,320,320,6,9,22,32
22,2214,9,2013,27,8,22,2201,46,36,4,4,320,320,4,9,23,32
9,0917,10,2013,26,7,9,0920,27,28,4,9,320,320,4,9,33,32
1,0101,7,2013,29,4,1,0114,42,35,4,4,320,320,4,9,43,32
1,0101,1,2013,4,1,1,0101,43,34,4,4,320,320,4,9,72,32
6,0604,8,2013,4,7,22,2201,29,23,9,4,320,320,1,9,83,32
2,0201,8,2013,16,7,2,0201,59,33,9,4,320,320,1,9,92,32
1,0101,11,2013,1,10,1,0101,999,999,9,9,320,9999,9,9,NEOG,32
6,0601,9,2013,21,8,6,0601,999,27,9,4,320,320,9,9,IGNORADO,32
1,0101,1,2014,9,5,4,0401,34,32,4,9,320,320,5,9,12,NEOG
1,0101,2,2013,22,1,1,0101,41,41,9,9,320,320,9,9,21,NEOG
1,0101,8,2013,17,7,1,0101,52,46,9,9,320,320,9,9,21,NEOG
1,0101,10,2013,14,8,1,0101,47,40,9,9,840,320,9,9,21,NEOG
1,0101,8,2013,14,3,1,0101,31,33,4,9,320,320,5,9,21,NEOG
9,0901,11,2013,15,2,9,0901,37,25,9,9,320,320,9,9,22,NEOG
11,1104,11,2013,11,7,16,1601,38,34,4,9,320,320,5,9,22,NEOG
10,1015,7,2013,8,5,11,1101,54,50,4,9,320,320,4,9,23,NEOG
1,0101,7,2013,16,5,1,0101,999,999,9,9,320,320,9,9,23,NEOG
8,0801,10,2013,1,8,8,0801,999,999,9,9,320,320,9,9,23,NEOG
9,0906,10,2013,12,9,9,0901,59,54,9,9,320,320,9,9,23,NEOG
1,0101,10,2013,18,9,1,0101,23,24,4,9,320,840,4,9,24,NEOG
1,0101,8,2013,18,7,1,0101,34,31,4,9,320,320,5,9,24,NEOG
1,0101,10,2013,19,9,1,0101,31,32,4,9,320,1034,9,9,25,NEOG
1,0101,5,2013,4,3,1,0101,36,35,4,9,320,320,5,9,26,NEOG
1,0101,9,2013,25,7,1,0101,45,41,9,9,320,320,6,9,26,NEOG
1,0117,1,2014,5,11,1,0103,50,35,4,9,320,320,5,9,26,NEOG
1,0101,9,2013,6,6,1,0115,24,17,9,9,320,320,4,9,31,NEOG
1,0104,12,2013,27,11,1,0108,999,999,9,9,320,320,9,9,31,NEOG
1,0101,8,2013,30,4,1,0101,999,999,9,9,320,320,9,9,31,NEOG
22,2201,4,2013,22,3,22,2201,36,34,9,9,320,320,9,9,33,NEOG
9,0901,12,2013,11,4,9,0901,999,999,9,9,320,320,9,9,33,NEOG
10,1006,2,2014,25,2,10,1006,999,41,9,9,320,320,9,9,34,NEOG
21,2101,6,2013,22,5,21,2101,26,17,4,9,320,320,4,9,34,NEOG
1,0101,9,2013,22,7,1,0101,999,999,9,9,320,320,9,9,35,NEOG
1,0101,10,2013,21,5,1,0115,999,999,9,9,320,320,9,9,35,NEOG
1,0108,11,2013,25,9,1,0101,999,999,9,9,320,320,9,9,35,NEOG
1,0101,6,2014,22,11,1,0101,27,20,4,9,320,320,4,9,35,NEOG
1,0115,2,2014,10,12,1,0115,999,999,9,9,320,320,9,9,35,NEOG
1,0101,8,2013,4,7,1,0101,25,27,4,9,320,320,4,9,42,NEOG
1,0101,1,2014,7,10,1,0101,52,47,9,9,320,320,9,9,43,NEOG
9,0901,2,2014,19,3,9,0901,49,36,9,9,320,320,9,9,43,NEOG
1,0101,11,2013,28,8,1,0101,999,999,9,9,320,320,9,9,43,NEOG
1,0101,6,2013,7,3,1,0108,999,999,9,9,320,320,9,9,43,NEOG
1,0101,2,2014,19,11,1,0101,33,39,9,9,320,320,4,9,43,NEOG
1,0108,11,2013,10,9,1,0108,46,40,4,9,320,320,4,9,43,NEOG
22,2217,6,2013,12,3,22,2217,28,23,4,9,320,320,5,9,43,NEOG
17,1703,11,2013,7,8,17,1703,28,27,4,4,320,320,9,9,51,NEOG
22,2205,7,2013,20,6,22,2205,999,999,9,9,320,320,9,9,51,NEOG
1,0101,12,2013,10,10,1,0101,41,49,9,9,320,320,1,9,52,NEOG
1,0101,4,2013,11,3,1,0101,999,999,9,9,320,320,9,9,52,NEOG
1,0101,9,2013,3,5,1,0101,999,999,9,9,320,320,9,9,52,NEOG
4,0416,6,2013,27,5,4,0401,999,999,9,9,320,320,1,9,52,NEOG
21,2101,10,2013,10,9,21,2101,999,999,9,9,320,320,9,9,52,NEOG
1,0101,11,2013,10,10,1,0101,33,34,9,9,320,320,1,9,52,NEOG
9,0901,9,2013,28,8,9,0901,33,32,4,4,320,320,1,9,52,NEOG
1,0101,2,2014,30,9,1,0101,42,29,4,9,320,320,4,9,52,NEOG
5,0501,9,2013,15,7,5,0501,51,50,9,9,320,320,9,9,61,NEOG
1,0108,10,2013,5,9,1,0101,28,34,9,9,320,320,9,9,61,NEOG
18,1805,2,2013,24,1,18,1801,30,31,9,9,320,320,9,9,61,NEOG
1,0114,4,2013,5,2,1,0114,33,28,9,9,320,320,9,9,61,NEOG
22,2201,1,2013,7,1,22,2201,31,27,9,9,320,320,9,9,61,NEOG
1,0117,8,2013,19,3,1,0115,31,25,9,9,320,320,9,9,61,NEOG
17,1712,6,2013,20,2,17,1712,29,34,1,4,320,320,9,9,61,NEOG
5,0505,9,2013,16,7,5,0501,999,999,9,9,320,320,9,9,61,NEOG
6,0601,2,2014,3,4,1,0101,999,999,9,9,320,320,9,9,61,NEOG
11,1107,1,2014,2,9,11,1107,999,30,9,9,320,320,9,9,61,NEOG
11,1107,8,2013,28,6,11,1101,999,999,9,9,320,320,9,9,61,NEOG
1,0108,11,2013,27,8,1,0101,39,47,9,9,320,320,1,9,71,NEOG
1,0101,10,2013,6,8,1,0101,999,999,9,9,320,320,1,9,72,NEOG
1,0108,10,2013,30,7,1,0101,999,999,9,9,320,320,1,9,72,NEOG
4,0415,10,2013,23,8,4,0401,999,999,4,4,320,320,1,9,72,NEOG
11,1101,6,2013,30,4,11,1101,37,18,4,9,320,320,4,9,72,NEOG
1,0101,6,2013,25,4,1,0101,999,999,9,9,320,320,1,9,72,NEOG
1,0101,4,2013,28,2,1,0101,999,999,4,4,320,320,1,9,73,NEOG
1,0101,3,2013,5,2,1,0101,999,999,9,9,320,320,1,9,74,NEOG
1,0101,4,2014,18,11,1,0101,32,23,4,9,320,320,4,9,74,NEOG
1,0103,5,2014,15,10,1,0103,30,26,4,4,1020,320,1,9,74,NEOG
1,0101,8,2013,20,6,1,0101,999,999,9,9,320,320,9,9,83,NEOG
1,0101,1,2014,23,8,1,0101,36,33,4,9,320,320,4,9,83,NEOG
11,1101,7,2013,4,6,11,1101,999,999,9,9,320,320,1,9,83,NEOG
1,0115,4,2013,30,1,1,0115,38,34,9,9,320,320,1,9,83,NEOG
1,0101,6,2013,8,3,1,0101,999,25,9,9,320,320,9,9,83,NEOG
1,0101,9,2013,8,3,1,0101,999,25,9,9,320,320,9,9,83,NEOG
1,0108,1,2014,27,8,1,0108,999,999,9,9,320,320,1,9,83,NEOG
1,0101,2,2013,17,1,1,0101,51,39,4,9,320,320,4,9,92,NEOG
17,1703,12,2013,18,11,17,1703,81,33,4,4,320,320,1,9,92,NEOG
1,0101,3,2014,26,2,1,0101,32,28,4,9,320,320,4,9,95,NEOG
1,0101,2,2014,21,11,1,0108,30,29,9,9,320,124,9,9,NEOG,NEOG
1,0101,11,2013,25,6,1,0101,999,999,9,9,222,320,9,9,NEOG,NEOG
1,0101,1,2014,2,10,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,3,2014,4,10,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,6,2014,6,9,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
18,1804,12,2013,13,11,17,1709,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,12,2013,15,10,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0901,2,2014,20,12,9,0901,32,32,9,9,320,320,9,9,NEOG,NEOG
1,0103,3,2014,15,3,1,0101,23,28,9,9,320,320,9,9,NEOG,NEOG
10,1001,5,2014,19,9,10,1004,29,27,9,9,320,320,9,9,NEOG,NEOG
1,0102,1,2014,1,10,1,0101,31,26,9,9,320,320,9,9,NEOG,NEOG
1,0101,1,2014,24,1,1,0101,31,25,9,9,320,320,9,9,NEOG,NEOG
1,0115,12,2013,24,10,1,0115,29,24,9,9,320,320,9,9,NEOG,NEOG
1,0115,12,2013,8,10,1,0115,26,24,9,9,320,320,9,9,NEOG,NEOG
5,0511,2,2014,12,6,5,0511,26,23,9,9,320,320,9,9,NEOG,NEOG
15,1502,2,2014,18,12,15,1502,25,21,9,9,320,320,9,9,NEOG,NEOG
1,0101,7,2013,2,5,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,9,2013,8,4,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0115,8,2013,31,5,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,2,2013,5,1,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,5,2013,24,4,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,7,2013,6,3,3,0301,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,12,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,18,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,22,2,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,9,2013,2,8,1,0108,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,9,2013,15,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,9,2013,28,5,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2013,1,8,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2013,4,10,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,4,2013,5,2,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,25,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,9,2013,17,6,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2013,19,9,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0108,4,2013,5,3,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
5,0501,4,2013,4,1,5,0501,999,999,9,9,320,320,9,9,NEOG,NEOG
6,0601,9,2013,21,8,6,0601,999,999,9,9,320,320,9,9,NEOG,NEOG
15,1503,5,2013,19,4,15,1501,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2013,31,7,1,0101,999,999,9,9,320,320,9,9,NEOG,NEOG
21,2101,8,2013,25,7,21,2101,999,999,9,9,320,320,9,9,NEOG,NEOG
1,0101,5,2013,16,1,1,0115,999,999,9,9,320,320,9,9,NEOG,NEOG
12,1201,8,2013,17,7,12,1201,999,999,9,9,320,320,9,9,NEOG,NEOG
8,0801,11,2013,1,10,8,0801,999,999,9,9,320,320,9,9,NEOG,NEOG
9,0901,10,2013,4,9,9,0901,999,999,9,9,320,320,9,9,NEOG,NEOG
11,1101,8,2013,23,7,11,1101,50,49,9,9,320,320,9,9,NEOG,NEOG
1,0101,5,2013,8,4,22,2201,48,47,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,30,5,1,0101,41,41,9,9,320,320,9,9,NEOG,NEOG
13,1301,11,2013,19,9,13,1301,39,38,9,9,320,320,9,9,NEOG,NEOG
6,0601,10,2013,17,7,1,0101,40,37,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,3,6,1,0101,39,37,9,9,320,320,9,9,NEOG,NEOG
1,0101,5,2013,9,5,1,0101,41,36,9,9,320,320,9,9,NEOG,NEOG
1,0101,5,2013,7,5,1,0115,38,34,9,9,320,320,9,9,NEOG,NEOG
1,0101,10,2013,16,8,1,0101,32,34,9,9,320,320,9,9,NEOG,NEOG
10,1001,10,2013,17,10,10,1001,34,32,9,9,320,320,9,9,NEOG,NEOG
3,0309,3,2013,16,1,5,0501,33,30,9,9,320,320,9,9,NEOG,NEOG
1,0101,1,2013,11,1,1,0101,30,30,9,9,320,320,9,9,NEOG,NEOG
1,0101,8,2013,9,7,1,0101,35,28,9,9,320,320,9,9,NEOG,NEOG
3,0308,4,2013,18,1,3,0301,32,28,9,9,320,320,9,9,NEOG,NEOG
6,0608,11,2013,20,9,6,0601,28,28,9,9,320,320,9,9,NEOG,NEOG
10,1001,7,2013,11,6,10,1001,28,28,9,9,320,320,9,9,NEOG,NEOG
1,0110,4,2013,5,2,1,0101,35,26,9,9,320,320,9,9,NEOG,NEOG
17,1701,10,2013,24,9,17,1703,26,25,9,9,320,320,9,9,NEOG,NEOG
1,0115,10,2013,15,8,1,0115,25,25,9,9,320,320,9,9,NEOG,NEOG
22,2201,6,2013,3,5,22,2201,29,23,9,9,320,320,9,9,NEOG,NEOG
1,0109,6,2013,21,3,1,0101,28,23,9,9,320,320,9,9,NEOG,NEOG
1,0101,11,2013,27,8,1,0101,26,23,9,9,320,320,9,9,NEOG,NEOG
22,2201,9,2013,6,8,22,2201,31,22,9,9,320,320,9,9,NEOG,NEOG
1,0101,6,2013,5,4,1,0101,24,22,9,9,320,320,9,9,NEOG,NEOG
1,0115,8,2013,16,4,1,0101,25,21,9,9,320,320,9,9,NEOG,NEOG
1,0101,7,2013,3,5,1,0101,29,20,9,9,320,320,9,9,NEOG,NEOG
11,1101,7,2013,5,5,11,1101,20,17,9,9,320,320,9,9,NEOG,NEOG
11,1101,9,2013,5,5,11,1101,20,17,9,9,320,320,9,9,NEOG,NEOG
12,1215,11,2013,30,9,12,1215,999,999,1,1,320,320,9,9,NEOG,NEOG
9,0901,4,2014,14,8,9,0901,34,30,1,4,320,320,9,9,NEOG,NEOG
1,0101,9,2013,2,7,1,0101,999,999,4,4,320,320,9,9,NEOG,NEOG
1,0101,9,2013,31,7,1,0101,999,999,4,4,320,320,9,9,NEOG,NEOG
10,1001,6,2013,8,5,10,1001,999,999,4,4,320,320,9,9,NEOG,NEOG
1,0101,10,2013,13,9,1,0101,45,40,4,9,320,320,9,9,NEOG,NEOG
1,0102,11,2013,13,9,1,0101,45,40,4,9,320,320,9,9,NEOG,NEOG
9,0901,5,2013,17,5,8,0801,30,26,4,4,320,320,9,9,NEOG,NEOG
1,0115,4,2013,20,3,1,0115,32,25,4,4,320,320,9,9,NEOG,NEOG
