,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
Todas las edades,9621,1,238,1193,1565,1169,780,500,269,166,204,3536,2021,,,
Menos de 20,4,0,2,2,0,0,0,0,0,0,0,0,2021,,,
20 - 24,638,1,160,330,97,30,6,6,1,4,2,1,2021,,,
25 - 29,1606,0,62,641,610,181,59,29,9,5,4,6,2021,,,
30 - 34,1501,0,11,165,642,438,138,40,19,7,8,33,2021,,,
35 - 39,986,0,3,38,152,355,246,78,38,11,19,46,2021,,,
40 - 44,647,0,0,12,36,103,204,153,48,16,19,56,2021,,,
45 - 49,349,0,0,4,10,13,43,111,74,24,19,51,2021,,,
50 - 54,167,0,0,0,1,3,11,23,40,38,20,31,2021,,,
55 - 59,111,0,0,0,0,3,5,12,10,33,34,14,2021,,,
60 y más,81,0,0,1,0,1,1,0,4,8,49,17,2021,,,
Ignorado,3531,0,0,0,17,42,67,48,26,20,30,3281,2021,,,
Todas las edades,5542,,247,441,457,292,194,139,97,52,72,3545,2013,0,6,
Menos de 15,0,,0,0,0,0,0,0,0,0,0,0,2013,0,0,
15 - 19,82,,37,19,14,3,0,1,0,0,0,2,2013,0,6,
20 - 24,465,,158,205,56,12,8,3,2,1,0,20,2013,0,0,
25 - 29,470,,43,153,141,48,15,4,0,1,2,63,2013,0,0,
30 - 34,383,,5,29,151,86,29,8,4,1,3,67,2013,0,0,
35 - 39,263,,3,11,24,85,54,17,12,3,4,50,2013,0,0,
40 - 44,146,,0,3,5,4,40,40,10,5,1,38,2013,0,0,
45 - 49,100,,0,0,0,2,12,30,22,7,5,22,2013,0,0,
50 - 54,55,,0,0,0,0,0,3,13,10,10,19,2013,0,0,
55 - 59,37,,0,0,0,0,1,2,3,9,13,9,2013,0,0,
60 y más,29,,0,0,0,0,0,0,5,2,15,7,2013,0,0,
