DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
6,606,12,2020,19,11,2020,6,614,19,23,4,4,320,320,2,2,92,97
7,704,2,2020,3,2,2020,7,704,20,20,1,9,320,320,4,4,72,34
9,916,9,2020,21,9,2020,9,916,20,20,1,1,320,320,4,3,74,97
8,801,3,2021,18,11,2020,8,801,20,21,1,1,320,320,3,3,75,52
19,1909,11,2020,9,11,2020,19,1909,20,22,4,4,320,320,2,2,92,97
9,920,6,2021,12,10,2020,9,922,20,23,4,4,320,320,9,4,42,97
20,2011,10,2020,6,3,2020,20,2006,21,20,4,4,320,320,2,2,92,52
14,1413,2,2020,27,1,2020,14,1405,21,21,1,1,320,320,3,3,73,97
8,801,11,2020,21,10,2020,8,801,21,21,4,4,320,320,4,4,97,97
9,901,2,2020,4,2,2020,9,903,21,22,9,9,320,320,3,3,52,97
14,1406,6,2021,4,12,2020,14,1406,21,22,5,1,320,320,4,3,94,97
8,804,11,2020,20,11,2020,9,901,21,24,1,1,320,320,4,4,51,33
16,1610,2,2021,16,3,2020,16,1610,21,24,1,1,320,320,2,1,92,97
5,501,9,2020,5,2,2020,5,501,21,39,9,4,320,320,4,3,97,97
1,101,2,2021,29,12,2020,1,101,21,44,4,4,320,320,4,4,97,97
17,1710,7,2020,3,2,2020,17,1710,22,21,4,4,320,320,2,2,92,97
17,1703,2,2021,25,11,2020,17,1703,22,21,4,4,320,320,4,3,97,97
9,901,2,2020,12,2,2020,8,801,22,22,1,1,320,320,3,3,52,97
16,1609,10,2020,3,9,2020,16,1609,22,22,1,9,320,320,3,3,97,97
12,1218,3,2020,17,2,2020,12,1218,22,23,4,4,320,320,3,3,92,97
21,2101,9,2020,13,2,2020,21,2101,22,23,4,4,320,320,4,4,97,97
11,1101,9,2020,2,9,2020,11,1108,22,23,4,4,320,320,4,4,97,97
4,401,11,2020,14,10,2020,4,401,22,24,9,5,320,320,4,4,97,97
4,401,12,2020,6,10,2020,4,401,22,25,5,4,320,320,4,4,97,97
1,115,7,2020,13,3,2020,1,115,22,26,5,4,320,320,4,3,93,97
4,401,11,2020,27,2,2020,4,401,22,26,1,4,320,320,3,4,97,41
1,101,10,2020,30,9,2020,1,101,22,26,4,1,320,320,4,4,97,97
